species,measured_sum,reconstructed_sum,closure_pct,closure_w_pct,Q_species,q_share_pct,rmse,nrmse,median_residual
CH4,422631.88017,419239.59494899877,99.19734279874089,99.9849447313211,77.41111491465298,9.549260782345137,135.9994716743488,9.171066179768216,-1.5662070942769333
NOX,3387.7455430600003,3376.929458816954,99.68072914256493,100.05379961233689,4.035234602941259,0.49777745203531604,0.5189506192901653,4.365762558545196,-0.04175121912140245
NO,954.6985602335999,934.9810280576252,97.93468504119771,99.42503622945074,97.09879193405932,11.977888276784025,0.487606950485917,14.55621561369937,0.042666621928586945
NO2,1926.628360898495,1857.002215043491,96.38611435043273,100.41561512926557,60.744705557615646,7.493330061916498,1.1697397026739187,17.303587034636767,-0.001558278288633641
SO2,219.47800022200002,215.34558617916397,98.11716252259627,98.78288449041263,114.17330705016076,14.084162004471722,0.19169282598476103,24.891996168361597,0.03026037342217358
H2S,142.76698534999997,160.07074643775167,112.1202819022414,102.98265667611278,173.79263816728718,21.43866841009719,0.32100254300511755,64.08044866407802,-0.16591612209419287
Benzene,44.809999999999995,55.262097294636476,123.32536776308075,100.20028628469169,27.39415634090354,3.3792814261883852,0.08574982118476823,54.53849372385394,-0.0009255021303097022
Toluene,103.995,97.8904153733013,94.12992487456252,100.45220518966377,56.155681418613234,6.927238380016229,0.053942177023545985,14.782941921929522,0.03570268584617736
Ethylbenzene,11.62,11.920908872869862,102.58957721918988,102.0103165057123,28.699702065394092,3.5403306062729394,0.008080276630916124,19.818234421782233,0.00024654194789372474
PM1 FIDAS,495.39,499.9748428481663,100.92550169526359,100.35519999807448,23.94825894503115,2.9542032846492976,0.22421935713857338,12.899436158278005,-0.004535922212687282
PM2.5 FIDAS,677.79,682.795704653399,100.73853327039335,100.01812216966458,19.75068088852319,2.4363995098291444,0.1915200413304539,8.053115534188962,0.007888574904898693
PM4 FIDAS,847.8000000000001,858.5212477423373,101.26459633667578,99.78639448249095,16.01117206695452,1.975102124118969,0.253439034697558,8.519712772918616,0.04235863559139741
PM10 FIDAS,1163.3400000000001,1175.8015439767237,101.07118675337593,99.82943818087038,33.72318065471024,4.160015610639501,0.4665700499200082,11.430232281809474,-0.09232070474950627
TSP FIDAS,1461.51,1452.306523825399,99.3702762092219,99.73353452189403,77.71171450392643,9.58634207063562,0.9576592029990426,18.6747181240448,0.04694965031303422
