,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,19.907232544264062,1.401222722063929,0.3904204390993438,0.7548314299669231,0.06836941074944793,0.017891944980497235,0.002670646887373269,0.014193918065482045,0.0007419429262459554,1.621909717928163e-67,0.01701964136831557,0.033899098698649946,0.061051567051998636,0.0907054493449322
Factor_2,6.506500342686187,0.36295568602908285,0.01851333308748398,0.2917857307208463,0.03456643928608302,1.4448200837039235e-22,0.005155331224757135,0.023925400704439298,0.0030954827280639035,0.40791498397253567,0.6111500090589831,0.7816507601986504,1.0047855745109677,1.2042342167859557
Factor_3,346.49967471336487,0.08041912939995391,0.015498947627229222,0.01180608359413949,0.005321570865233166,0.1593757812630284,0.037642324004398986,0.06918520675581354,0.01207332369619579,0.11570394295871017,0.12340596022414371,0.13789968055880128,0.16865256642447557,0.2031332021696171
