species,measured_sum,reconstructed_sum,closure_pct,closure_w_pct,Q_species,q_share_pct,rmse,nrmse,median_residual
CH4,26036087.828600004,26315554.088720426,101.07338038633222,99.35340507725303,2332.3442322604333,1.847375708040883,835.4424860135271,26.498159381384603,7.4717524548124175
NOX,191081.412031,161592.25231422725,84.56722744335352,101.65999659875453,8907.822803740892,7.055603213087818,13.44089658311942,58.08776625818159,-0.3032622432847041
NO,57653.7743294048,38009.23097629367,65.92670023497153,100.63426880054463,18370.222788857598,14.550469378417699,9.068600114571819,129.89349026528373,0.21590526413133604
NO2,102782.5659296298,86305.29085430854,83.9688035356089,101.71043419210034,15665.480064017123,12.408128665045393,5.535165645554985,44.47193693557724,0.5302828143672245
SO2,10597.358641081999,8507.627168800413,80.28063838303558,88.73206139909267,20244.54926472111,16.03506378457545,1.0519086079817506,81.97006045486049,0.13745706340336927
H2S,18060.11789125,14773.967212232932,81.80437858266038,104.3475088188645,10136.78490831139,8.02902502050515,2.7522590506954403,125.84721416273022,-0.04631633561632509
Benzene,2531.6299999999997,3320.0162310725436,131.14144764726854,99.71879192091208,5712.224956735769,4.52447176449219,0.28991996325380476,94.56986433838752,-0.015405852630878375
Toluene,7596.669999999999,9470.068488227706,124.66078542608415,101.79989804682332,6195.192534803567,4.907015026825758,0.8677083872238509,94.3246957113388,-0.012736133144399475
Ethylbenzene,1606.7699999999998,1597.713973454308,99.4363831447132,109.11477577179433,9160.781029958081,7.255963381110634,0.2009556842940386,103.28124379345961,0.029931337573975245
PM1 FIDAS,40366.369999999995,38757.40383230115,96.01409250398575,104.78001308227982,12542.81415779248,9.934764287825653,1.2323675869272235,25.211312121563104,-0.12557718441515087
PM2.5 FIDAS,52979.51000000001,52733.5819403033,99.53580533361539,100.9290681731787,1093.1187096402539,0.8658245735181475,0.4080899702461628,6.360962897340522,-0.04004756727168557
PM4 FIDAS,63972.72000000001,63691.906838987,99.56104233021043,98.81862121438871,2157.1247574910562,1.7085899332880228,0.7989812256650923,10.313750863715551,0.01211718259961403
PM10 FIDAS,79478.62999999999,77019.49265122575,96.90591376729286,97.11183771555365,5669.386277405217,4.490540608676859,2.166510059904225,22.51050386083541,0.20360917995541872
TSP FIDAS,96696.62,89177.0405057758,92.22353429290064,95.5903306933754,8063.907399989385,6.38716465459035,3.982962975165434,34.01495134878154,0.4793357508681333
