species,measured_sum,reconstructed_sum,closure_pct,closure_w_pct,Q_species,q_share_pct,rmse,nrmse,median_residual
NOX,191279.45664579998,169342.32313684412,88.53136981166892,102.1248862678729,5533.201982982004,5.090401442949861,12.599045820951991,54.472189939463014,-0.3820729293589187
NO,57698.3258327648,43229.39041879463,74.92312782886019,102.00487357854753,12128.276434461044,11.157697848796584,7.837148612226782,112.33119520828522,0.16125065471687694
NO2,102902.33726643323,91985.9507674093,89.3915077256609,102.12302864995463,9452.260241561602,8.695832778338552,5.23439818904884,42.06753138303558,0.06653030463976606
SO2,10610.10253031,8934.239309613613,84.20502331707984,90.97259622980233,17245.462256220755,15.865375278798858,0.9718320780200078,75.74904448157716,0.0989322711440225
H2S,18070.790961700004,12194.6726402582,67.48278294018289,98.7613459612601,17314.56066496812,15.928944011817268,3.765188400085593,172.31181598361283,-0.009500247089152702
Benzene,2534.13,3306.8787791158843,130.4936518298542,96.72214803928355,6342.741349531345,5.835156536344558,0.4628730446300358,151.05618413776702,0.026236202069447212
Toluene,7604.539999999998,9393.678542928876,123.52724218596889,100.8350138547817,5300.839260286459,4.87663380125974,1.2446563067764795,135.3574004087228,0.08002032257373215
Ethylbenzene,1608.3999999999999,1662.1633326607957,103.34265932981819,108.27825165174129,7675.401574606133,7.061169169454078,0.2563816886170607,131.82520298825492,0.03923562841527764
PM1 FIDAS,40396.32000000001,39042.986527902984,96.64985951171536,104.0067026051658,10897.872612764584,10.025758438553106,1.104120432533321,22.6037321643421,-0.10070217202296938
PM2.5 FIDAS,53022.44,52844.64016334103,99.66467058728536,100.69812662722853,1016.5873731971102,0.9352338568740097,0.3805103541862652,5.934884605688484,-0.027785111694750952
PM4 FIDAS,64027.909999999996,63695.428598602586,99.48072426321987,98.88876374545102,2332.6635193671236,2.1459895701301615,0.8409992393336285,10.86254995561952,0.0166039726394136
PM10 FIDAS,79546.47,76992.54715521932,96.78939512365453,97.49500357280617,5599.2166368301805,5.151133201927417,2.156066843809252,22.41541679763101,0.18348445723980533
TSP FIDAS,96812.45999999999,89317.35455352084,92.25811899988994,96.2084465091509,7859.651251831038,7.230674064755811,3.9887518728143343,34.07307074747873,0.45579791986457563
