,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,2.980734912827637,1.944995512084648,3.735729014712977e-43,0.05993303773370885,0.9008284810254904,0.1943778953318907,0.5171895176587251,0.09603557223136024,0.31466831096388403,0.18363561102630085,0.0992686384580353,4.4200707063854607e-23,2.1594201719062445e-49
Factor_2,1.1509400933518914,1.1954183553417692e-72,1.089804408445182,0.09973452749152942,0.08946558773495372,0.04990143356995016,0.12792901857011774,0.025938450182687294,1.6064768006862584,2.181002549169222,2.6020575494463722,3.064657697927537,3.4380204736865343
Factor_3,14.103657931373144,2.7107632101906924,8.699713481869043,0.7751769932410923,7.691314258222904e-23,5.211595381830511e-46,0.08990167132600514,7.991851610278044e-209,0.0004699907540540374,0.3338772576014803,0.6555318738470611,1.1946792514761428,1.7174105216274265
