,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,28.998068368495,0.41346500099358185,0.10802425632649688,0.2507609614551304,0.05500993334926349,0.02928767068596895,0.02313001524089629,0.02245807345454393,0.0024354699674552826,0.3308493440838867,0.4316716697442892,0.5052371364415523,0.5908852422851446,0.6704359738481317
Factor_2,30.071239297807075,0.9064965605618152,0.2801335356479257,0.45811423649537003,0.04749606168488678,0.042080990672309276,0.003614205627630854,0.024676007711961545,0.0019585847813042337,0.0018579331674464198,0.00819442673170939,0.028282560700989327,0.0845998264685021,0.1305222644771865
Factor_3,31.46134965389806,0.8497708975130794,0.2670511453973133,0.4387653104598262,0.06510841891287776,0.05320062646607603,0.01607546057117264,0.027774157263080308,0.004218039722248689,0.07868313822853253,0.11607410062555173,0.15978499428771636,0.2546983510360739,0.33938970564847465
