species,measured_sum,reconstructed_sum,closure_pct,closure_w_pct,Q_species,q_share_pct,rmse,nrmse,median_residual
CH4,422631.88017,180999.3625765446,42.8267177818529,42.94197256317784,9160.657605110273,82.90323304964274,878.2650077798784,59.225425000258404,829.6675118148396
NOX,3387.7455430600003,2809.4544150935303,82.92991251509035,102.7085717528514,367.86502332897237,3.329149617254682,6.290110776728141,52.916653526116676,0.08430096520743646
NO,954.6985602335999,848.9466749099983,88.92300777140318,101.4785157707967,271.2075345395231,2.454406922512465,1.266479795099231,37.807403995137776,0.017539434649818997
NO2,1926.628360898495,1484.3650536579878,77.04470066898345,103.48801143888782,506.47550488206065,4.58356360702202,4.626744319265093,68.44195578931497,0.05877406239701344
SO2,219.47800022200002,215.42473524436593,98.15322493665232,99.03250101254825,111.30061321325361,1.0072618226271361,0.19087461152290608,24.785748106417895,0.02862208844519143
H2S,142.76698534999997,160.64124689190655,112.51988441031165,103.57344124779245,180.6930625185179,1.6352580478578023,0.33237578558929765,66.35084341153657,-0.13590515247716844
Benzene,44.809999999999995,54.43486251538405,121.47927363397469,99.09446891888842,22.609054785210514,0.2046101730562262,0.0909690195798598,57.85800174126321,-0.010471587928048365
Toluene,103.995,96.49933426078881,92.79228257203597,99.07866751409499,69.75042058762017,0.631235837267871,0.07528710628588574,20.6325547300134,0.040912339004985865
Ethylbenzene,11.62,11.04851443004738,95.0818797766556,99.81163760270194,27.17768611039843,0.24595592832805993,0.010091958572873205,24.752221973053903,0.002697057883725325
PM1 FIDAS,495.39,519.5335122753128,104.8736373918151,102.10175996137833,55.07768834203233,0.4984487609173263,0.316702162628759,18.220011778436447,-0.10653581969163062
PM2.5 FIDAS,677.79,702.659240428646,103.66916602910135,101.77309087616209,87.74471349641469,0.7940827771806928,0.4065673732491696,17.095516513376317,-0.011250902236999316
PM4 FIDAS,847.8000000000001,877.7554840253699,103.53331965385348,101.0498995261949,49.66660823071881,0.4494789101864942,0.4673814985170173,15.711692271449627,-0.0028107208074684698
PM10 FIDAS,1163.3400000000001,1181.498558113544,101.5608986292523,100.13988272749415,50.65345462838485,0.4584097927078832,0.6117755199837183,14.98753788190552,-0.03069070462587975
TSP FIDAS,1461.51,1450.6955389891,99.26004878441475,99.61257104163529,88.94052233839211,0.8049047534385952,1.0282487420956286,20.0512409423989,0.03906000536633192
