burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,6729.457176533597,,6441.523185051644,0.0,0.9365965580762052,CH4,10.0,False,50
2,6729.457176533597,3687.3135921574813,6441.523185051644,3644.2328977640186,2797.2902872876252,0.9319605430367984,CH4,10.0,False,50
3,3687.3135921574813,2827.417125925186,3644.2328977640186,2815.166207609971,829.0666901540476,0.9291653605722675,CH4,10.0,False,50
4,2827.417125925186,2613.013627796298,2815.166207609971,2602.356505717268,212.80970189270283,0.9287374723953584,CH4,10.0,False,50
5,2613.013627796298,2449.918337290139,2602.356505717268,2440.594046241763,161.76245947550524,0.9281152311071916,CH4,10.0,False,50
