,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,52.213373666898626,0.6821026704198152,0.0853759084041924,0.46975315356448666,0.056702087292708384,0.03597232869873884,0.014886095369307406,0.041558880591208644,0.008092188943804372,0.4235526617798178,0.577105676883984,0.6910331476089947,0.8196828458458562,0.9317076149281639
Factor_2,62.11072620653604,0.8457922746717119,0.32300259574882495,0.22208745415181952,0.025888636562088594,0.09088213523133257,0.003981494158418506,0.017218101519488632,7.050048852371572e-08,0.05499566392858431,0.0668210512282563,0.08235613138167065,0.106188556897157,0.12953221879478974
Factor_3,48.43181744513076,0.8425647104629143,0.1423195426034353,0.5346999437784723,0.0537275491117331,0.036293018309374286,0.04016962775330895,0.11106968210320664,0.024019186307650604,0.2386274101874657,0.33729509565653365,0.41631533882115146,0.5109560188198033,0.5993198804860512
