datetime,PC1,PC2,PC3,PC4,PC5
2023-10-01 00:15:00,-0.1966905015143812,-1.5742451941390154,-0.17602058777453244,-0.34588035429530173,-0.5748946452209661
2023-10-01 00:20:00,-0.195534839980639,-1.5503910582783536,-0.1771263889797293,-0.3246770964383717,-0.7162479353998779
2023-10-01 00:25:00,-0.19313377471185947,-1.5059921163037298,-0.1765008679611654,-0.457072163855403,-0.7166683512060974
2023-10-01 00:30:00,-0.0783792107755465,-1.4846626702679027,-0.29944065243273604,-0.4941875966046167,-0.5299573114149141
2023-10-01 00:35:00,-0.08319872196107704,-1.597009270752561,-0.177339647940253,-0.460007111234405,-0.49481812986732454
2023-10-01 00:40:00,-0.08175190650413097,-1.6582933177688561,-0.17798616689070015,-0.46619594828831645,-0.5606476715057077
2023-10-01 00:45:00,-0.5259110135822517,-1.6970646860081964,-0.1754038942910041,-0.4483520759828993,-0.5746055980459371
2023-10-01 00:50:00,-0.5250409940951306,-1.6311512861890758,-0.1755435503244161,-0.4505170585042368,-0.48056668220973364
2023-10-01 00:55:00,-0.5260188505329378,-1.5895396362165763,-0.17521206107447085,-0.44684885368867755,-0.4811646143320981
2023-10-01 01:00:00,-0.5811544367227844,-1.5921238637878512,-0.5568541855035515,-0.45804873366927285,-0.6039040900671618
2023-10-01 01:05:00,-0.5802766535163141,-1.6528880831288997,-0.17585901946982987,-0.4495760616800599,-0.5855458624614551
2023-10-01 01:10:00,-0.5817328845910051,-1.6097303471011104,-0.17565583105123125,-0.44559376118380184,-0.7156972874783115
2023-10-01 01:15:00,-0.5609014569339298,-1.4933866127493078,-0.1773937810731301,-0.4607057734205463,-0.5643633572896043
2023-10-01 01:20:00,-0.5607452086206621,-1.5674391520269413,-0.1788080571858833,-0.34275978893726494,-0.5356969626448245
2023-10-01 01:25:00,-0.5636728642230449,-1.5754470783350296,-0.17633197979805895,-0.45037491018354725,-0.5662643053122464
2023-10-01 01:30:00,-0.8802770270479323,-1.7180040832409877,-0.6244176740059574,-0.45858508555841915,-0.5868048011266181
2023-10-01 01:35:00,-0.8776993424372775,-1.6995131520826445,-0.1773022939077873,-0.45858486159749035,-0.46756641467774407
2023-10-01 01:40:00,-0.8801356952063436,-1.6899317367312592,-0.17635648414683383,-0.44917153306224905,-0.44246741124943106
2023-10-01 01:45:00,-0.9729343328898147,-1.6297244812655507,-0.1772777552737486,-0.4487866396525431,-0.46045258830254043
2023-10-01 01:50:00,-0.9685913639300564,-1.5722022788759358,-0.17886703316000846,-0.4648481210264029,-0.4442037065162824
2023-10-01 01:55:00,-0.9656129412513522,-1.5303622677798667,-0.1799798070425716,-0.47596659258209173,-0.44220839139917983
2023-10-01 02:00:00,-1.2399919767596421,-1.5025804868081036,-0.6914180237287085,-0.4793525899832824,-0.4281996148597684
