datetime,PC1,PC2,PC3
2023-10-01 00:00:00,-0.5970514725256353,-0.7552715219723543,-0.5719442786377938
2023-10-01 00:15:00,-0.43287731736767987,-0.15842176875601105,-1.5273289769552605
2023-10-01 00:20:00,-0.39908027512017763,-0.14503629548025102,-1.6157768553001717
2023-10-01 00:25:00,-0.4019507718804709,-0.15791898589956108,-1.5873570153166703
2023-10-01 00:30:00,-0.31217634592399435,-0.6910936322027302,-1.4302924079554074
2023-10-01 00:35:00,-0.3223824539242059,-0.18189994285690134,-1.5045171796468617
2023-10-01 00:40:00,-0.3106690975796059,-0.17570737614447954,-1.5963975091860467
2023-10-01 00:45:00,-0.7696089990183231,-0.1550875328690264,-1.6155784292673485
2023-10-01 00:50:00,-0.7853757604883536,-0.1667854260659766,-1.496141152951822
2023-10-01 00:55:00,-0.7836882343980328,-0.1666987288990415,-1.4683262442040566
2023-10-01 01:00:00,-0.8096706069213057,-0.8384669921587771,-1.552509403970457
2023-10-01 01:05:00,-0.813924355238468,-0.15403721882394983,-1.5966841521184791
2023-10-01 01:10:00,-0.7849374677882138,-0.1411438995311257,-1.6672385411291022
2023-10-01 01:15:00,-0.7809449497288805,-0.1653142571165646,-1.4738484941431131
2023-10-01 01:20:00,-0.7841348916389596,-0.15768025711267036,-1.498877661668352
2023-10-01 01:25:00,-0.7870568154749996,-0.15970440253711435,-1.5366285059964304
2023-10-01 01:30:00,-1.0955295056807737,-0.8695830676771349,-1.6445297108765418
2023-10-01 01:35:00,-1.1183645361085413,-0.16012808720445762,-1.5514531892227688
2023-10-01 01:40:00,-1.1249636900970466,-0.15991970097418828,-1.5284076082657496
2023-10-01 01:45:00,-1.1911583011359916,-0.15731827837512138,-1.5172131106806048
2023-10-01 01:50:00,-1.188291250731074,-0.16546875225017593,-1.458971616151204
2023-10-01 01:55:00,-1.1842477866409569,-0.17025448669603557,-1.4243215398727649
2023-10-01 02:00:00,-1.4512109939717448,-0.9394409729235385,-1.3828003041584427
2023-10-01 02:05:00,-1.44090080129267,-0.15804664438474733,-1.453573896867235
2023-10-01 02:10:00,-1.432718002183333,-0.15242083664886794,-1.5419622114587466
2023-10-01 02:15:00,-1.5695315073432374,-0.16013657663486777,-1.5310811098205392
2023-10-01 02:20:00,-1.5513895080576,-0.16133686138482847,-1.5023354165220473
2023-10-01 02:25:00,-1.5469085406743335,-0.158080311898554,-1.5373948455880242
