burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,415259.6983341074,,363975.79896742484,0.0,0.6527187249087592,CH4,50.0,False,50
2,415259.6983341074,332040.0667556238,363975.79896742484,292556.2389908199,71419.55997660494,0.659007790532177,CH4,50.0,False,50
3,332040.0667556238,297308.7452724012,292556.2389908199,262159.9584345318,30396.280556288082,0.6631453171257935,CH4,50.0,False,50
4,297308.7452724012,277381.630599518,262159.9584345318,246331.13578640012,15828.822648131696,0.6642124435596185,CH4,50.0,False,50
5,277381.630599518,260772.32197760695,246331.13578640012,234949.1969888412,11381.93879755892,0.6688929510882128,CH4,50.0,False,50
