,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,33.733900376956804,0.687462483213204,0.08618666805703891,0.4722144175387244,0.05706595259058265,0.03637206435782101,0.015013277975522252,0.04192037586106974,0.008165415883908744,0.42744850872950024,0.5822305328324685,0.6970340702403659,0.8266039524066432,0.9393667183513746
Factor_2,36.265471877278216,0.8308954772101778,0.3158899930006335,0.22116248490357104,0.025661289388092694,0.08840258761394026,0.00392018632471881,0.01684015582721558,6.65721339930327e-08,0.05331191641821679,0.06500903704169811,0.08031318108323603,0.1038683482037393,0.12699573843424933
Factor_3,31.05164427719133,0.8377900613385488,0.14167702415217823,0.5299560771889426,0.05337116928305044,0.03623821733600237,0.04001912672334135,0.11080235922885817,0.02400006238852564,0.2383677668147969,0.33674031850068403,0.41545032700288187,0.5096510677966261,0.597536989213413
