species,measured_sum,reconstructed_sum,closure_pct,closure_w_pct,Q_species,q_share_pct,rmse,nrmse,median_residual
CH4,26036087.828600004,1025640.1975472588,3.9393022649916634,3.9363041459587893,738596.6464770765,85.62180702892941,5707.881987674641,181.03983119322479,1404.9259214239578
NOX,191081.412031,161632.7493461177,84.58842104426948,101.65365070032709,8872.071064236463,1.0284947274433363,13.41581098489988,57.979353373906186,-0.30457122519024926
NO,57653.7743294048,38028.27106498027,65.95972511306158,100.59809036692455,18350.746208405333,2.127310025285506,9.059634536575585,129.7650724054748,0.2163279033958777
NO2,102782.5659296298,86296.92364421344,83.96066284558096,101.68740117477924,15657.712702974177,1.8151201497637464,5.5378603275817015,44.49358718722776,0.5347871190513955
SO2,10597.358641081999,8498.150256013592,80.19121126154435,88.67954735605943,20310.741338294727,2.354522436267174,1.055901714545179,82.2812235957677,0.13803919671470744
H2S,18060.11789125,14759.887972209513,81.72642095188412,104.44705123869882,10141.832266212505,1.1756917789422539,2.7588395147484803,126.14810628578957,-0.04722177138004796
Benzene,2531.6299999999997,3320.5802124317574,131.16372504796348,99.70153577505589,5706.766688415668,0.6615568571631933,0.28945693264436473,94.41882699198398,-0.015296874739273797
Toluene,7596.669999999999,9469.581639557742,124.65437671450442,101.79671887831152,6190.603291389401,0.7176456093271061,0.8664603598271292,94.18902823806265,-0.01221221596537736
Ethylbenzene,1606.7699999999998,1597.517297706277,99.42414270283099,109.12158985940984,9155.476424774273,1.061348490328226,0.20080974998445303,103.20624080432255,0.029900503005737877
PM1 FIDAS,40366.369999999995,38772.61531163495,96.05177604930776,105.12246162300917,12700.542215426858,1.472310197885255,1.2423009153969444,25.41452441561619,-0.14511906637856886
PM2.5 FIDAS,52979.51000000001,52702.10072423497,99.47638384015814,100.57944603858398,1144.1771143118401,0.13263871770309513,0.40968020131506355,6.38575008047412,-0.026026367053342714
PM4 FIDAS,63972.72000000001,63680.65328129534,99.54345114807582,98.82694097863957,2131.0852099846925,0.24704602638238224,0.7937253066816843,10.245904164427193,0.019948234223854833
PM10 FIDAS,79478.62999999999,77013.31258953865,96.89813801463193,97.11929107839076,5633.414321290396,0.6530534849192604,2.160209894559329,22.445043792615625,0.20075971671763282
TSP FIDAS,96696.62,89175.45345394411,92.22189302371076,95.58943486706987,8034.975802420839,0.9314544696600469,3.9768118460938795,33.962420015346204,0.4745263617789539
