burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,6729.457176533597,,6441.523185051644,0.0,0.9932372842752598,CH4,100.0,False,50
2,6729.457176533597,3687.37321391574,6441.523185051644,3644.2838082931335,2797.2393767585104,0.9927117129479356,CH4,100.0,False,50
3,3687.37321391574,2827.6535340901264,3644.2838082931335,2815.3810457501922,828.9027625429412,0.9924020733197902,CH4,100.0,False,50
4,2827.6535340901264,2613.433061088722,2815.3810457501922,2602.7542789764407,212.62676677375157,0.9923514186025447,CH4,100.0,False,50
5,2613.433061088722,2450.4113686538985,2602.7542789764407,2441.0803416706,161.6739373058408,0.9922768136131211,CH4,100.0,False,50
