burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,161399.80896723372,,152616.22311385686,0.0,0.9808373890103135,CH4,10.0,False,200
2,161399.80896723372,128109.45982944655,152616.22311385686,125670.14381427821,26946.079299578647,0.9715871216537898,CH4,10.0,False,200
3,128109.45982944655,126405.47308195636,125670.14381427821,124018.55566660487,1651.5881476733484,0.9541359614053133,CH4,10.0,False,200
4,126405.47308195636,126395.40595526854,124018.55566660487,124009.04809287378,9.50757373108354,0.9409384209605658,CH4,10.0,False,200
5,126395.40595526854,126393.35954890227,124009.04809287378,124010.0825673687,-1.0344744949252345,0.933741833263521,CH4,10.0,False,200
6,126393.35954890227,126384.12795567045,124010.0825673687,124004.72496237652,5.357604992183042,0.9294418708504797,CH4,10.0,False,200
7,126384.12795567045,126378.41069588649,124004.72496237652,124001.81255998713,2.9124023893964477,0.9267545787687355,CH4,10.0,False,200
8,126378.41069588649,126371.99884137405,124001.81255998713,123999.03127586869,2.7812841184349963,0.9249743150537786,CH4,10.0,False,200
