,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,26.54966010619687,5.854942686443426,5.170096363782087e-11,5.471079041816753,0.5046823882830668,0.03123949168561593,0.08408517943493318,0.2832637696849679,0.045400517803728675,6.0741545092139795,8.596820363932297,10.292155508002367,12.198482338696264,13.864166900376128
Factor_2,32.64772028163354,17.49986961194767,4.742791177926475,8.452187724320254,0.7963712936403267,0.31892738819402133,0.3278520863748199,0.816259134432184,0.11934102639569846,2.980300983397255e-29,1.777397061130236e-08,0.23511656757560379,0.6168073132869933,1.032820135267366
Factor_3,61.78734578700651,0.4544951167777591,0.2227707944043081,4.3305352576226214e-19,0.01632839640764878,0.4784297122065121,0.024969816044919785,0.09345467300532098,0.02105560202606388,0.2600855303523092,0.2844352905419356,0.30153172368873893,0.32808128063867725,0.34941734538593405
