scenario,lambda,diversity_score,mean_abs_corr,max_abs_corr,ch4_closure,ch4_q_share,mean_closure
CH4_Exclusion,,,,,,,
Lambda_0,0.0,,,,,,
Lambda_1,1.0,0.00017377504797833065,0.9998262249520217,0.9999777807216117,42.8267177818529,82.90323304964274,94.61771103967122
Lambda_2,2.0,0.00041495750163633716,0.9995850424983637,0.9999497962181552,27.59202259630284,88.49811121529562,93.52607673506806
Lambda_5,5.0,0.0017779643471290685,0.9982220356528709,0.9997937631149532,13.360249584092646,91.6545367642123,92.50675814528164
Lambda_10,10.0,0.006232205728371465,0.9937677942716285,0.9992943405841199,7.185867749395042,92.64681622815618,92.06464315977613
Lambda_20,20.0,0.023398547636788947,0.976601452363211,0.9974310226235547,3.7344841640038777,93.1289112615167,91.81753361158916
Lambda_50,50.0,0.12640476277872936,0.8735952372212706,0.9870562136211375,1.5299866077998023,93.41329397576662,91.65970681778542
Lambda_100,100.0,0.3101473881521203,0.6898526118478797,0.9695440706702767,0.771224344827084,93.50724361658015,91.60538628200348
