burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,415259.6983341074,,363975.79896742484,0.0,0.7889968057988056,CH4,100.0,False,50
2,415259.6983341074,332039.27423834044,363975.79896742484,292552.67022084264,71423.1287465822,0.7923831078376197,CH4,100.0,False,50
3,332039.27423834044,297321.82079360116,292552.67022084264,262155.2546241478,30397.41559669486,0.7935959407959967,CH4,100.0,False,50
4,297321.82079360116,277417.89553865953,262155.2546241478,246325.46576745762,15829.788856690167,0.7927219683890291,CH4,100.0,False,50
5,277417.89553865953,260868.5233719372,246325.46576745762,234955.2237152263,11370.242052231304,0.7942432655851526,CH4,100.0,False,50
