,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,21.05147879558381,0.6899220179964882,0.08655914710586875,0.473341832615716,0.0572310497521925,0.03655554107431238,0.015072021528883511,0.04208649494127739,0.00819897845552696,0.4292319562266604,0.5845748139670375,0.6997783196131209,0.829767726774806,0.9428668711863624
Factor_2,21.739708493648845,0.8238826663012383,0.31257986813070926,0.22066078116065724,0.02555168019821055,0.08725968059921864,0.0038895241998211315,0.016662618768745488,6.470487007401985e-08,0.05253168677917965,0.06416701557605305,0.07936163846475837,0.10278384572629971,0.12580571213117456
Factor_3,19.37092183021485,0.8351738294185933,0.1413074712288144,0.5275111385486353,0.05317943767590001,0.03619443493377522,0.03993285559241098,0.1106278377868634,0.023979395174575778,0.23813631771348578,0.3363235819834448,0.41485110832779004,0.5088010196090526,0.5964211228426416
