datetime,PC1,PC2,PC3,PC4,PC5
2023-10-01 00:00:00,-0.3614152046043482,-0.5771345608621723,-0.3524412082508115,-0.1954295840888975,-0.3902847303001463
2023-10-01 00:15:00,-0.19397460617819492,-1.5827583854328446,-0.1774121790207125,-0.19108525193540293,-0.5644985364872767
2023-10-01 00:20:00,-0.19296555649858244,-1.5595454456550868,-0.17824359816934388,-0.16272214437265742,-0.7061759438628203
2023-10-01 00:25:00,-0.1898620048683162,-1.5101686495561477,-0.17887176904394728,-0.3422709440647769,-0.7076448713451408
2023-10-01 00:30:00,-0.0733845627858707,-1.4825971462702965,-0.3014247259026273,-0.4036699354330761,-0.5260772322833891
2023-10-01 00:35:00,-0.07936979578768273,-1.6000209758090131,-0.17956499547084007,-0.3488830992290571,-0.4862585853190512
2023-10-01 00:40:00,-0.07774806030031552,-1.661019635394574,-0.18026700894919506,-0.3584289097948955,-0.5523403177345578
2023-10-01 00:45:00,-0.522556621464453,-1.7024198050898063,-0.17785227481517094,-0.3329720975033074,-0.5647731485103835
2023-10-01 00:50:00,-0.5217667420493682,-1.6362647839938977,-0.17797254551888997,-0.335149797377935,-0.47073486183456276
2023-10-01 00:55:00,-0.522864624673487,-1.594834689445926,-0.17760132468361287,-0.32951273376659834,-0.4712556296748554
2023-10-01 01:00:00,-0.5770558802406704,-1.5941016714866671,-0.5590407409585496,-0.35217939233679724,-0.5974776494796884
2023-10-01 01:05:00,-0.5769776048439299,-1.6580744187536764,-0.17824449304525272,-0.3348717939759081,-0.5759651783252563
2023-10-01 01:10:00,-0.5785820236719419,-1.615173960267839,-0.17798688425904524,-0.3290275643049757,-0.7062456209387229
2023-10-01 01:15:00,-0.5576163011319573,-1.4972016179781125,-0.17964753145741086,-0.351789628392434,-0.5557832147179101
2023-10-01 01:20:00,-0.5579653776754097,-1.5755002579157413,-0.1799199065488997,-0.19264781304068926,-0.5263395850429217
2023-10-01 01:25:00,-0.5603588695038014,-1.5799771365374604,-0.17858796246135095,-0.33803943724393876,-0.5572231107054002
2023-10-01 01:30:00,-0.8760835960626709,-1.7202875360615855,-0.62660346345784,-0.3575155850996244,-0.5802584709541575
2023-10-01 01:35:00,-0.8741624843844945,-1.7039206464434367,-0.17960955136738688,-0.35259953703689473,-0.45866888816324375
2023-10-01 01:40:00,-0.8767234111492678,-1.6948924993575112,-0.178620031400402,-0.3391186533910425,-0.43320853341526755
2023-10-01 01:45:00,-0.9695082997649268,-1.6342171806859622,-0.17933226081945108,-0.3400170101990063,-0.4518701044840502
2023-10-01 01:50:00,-0.9650789635644078,-1.5756490373718621,-0.18095946494584605,-0.36211380606034216,-0.4362300375539534
2023-10-01 01:55:00,-0.9620460152488318,-1.5330870521838285,-0.18209644836508082,-0.37740700936894334,-0.4346740344234083
2023-10-01 02:00:00,-1.235814435083598,-1.5028474221000763,-0.6933520560161295,-0.3884478838813979,-0.42338913495846564
2023-10-01 02:05:00,-1.2361437256374739,-1.527081610427349,-0.18197990135044614,-0.37352603217821345,-0.47291480028228666
2023-10-01 02:10:00,-1.2349046323396402,-1.596722280890965,-0.18250544316700537,-0.38090437111214187,-0.5258250664185886
2023-10-01 02:15:00,-1.3596976945717394,-1.69561271276848,-0.18322138026572918,-0.38666486538526607,-0.39534025110867776
2023-10-01 02:20:00,-1.3566154033916127,-1.6040801533022038,-0.18453395495380975,-0.403096470639294,-0.44720407646367655
2023-10-01 02:25:00,-1.356729741594165,-1.6245264990368118,-0.1845391255471333,-0.40304122672342824,-0.47401746534595246
