burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,6729.457176533597,,6441.523185051644,0.0,0.9865742144246987,CH4,50.0,False,50
2,6729.457176533597,3687.366474884013,6441.523185051644,3644.278072382438,2797.245112669206,0.9855380557497322,CH4,50.0,False,50
3,3687.366474884013,2827.6264530345006,3644.278072382438,2815.3564523707905,828.9216200116475,0.9849259143029451,CH4,50.0,False,50
4,2827.6264530345006,2613.384826421696,2815.3564523707905,2602.708547832499,212.64790453829164,0.984826498209312,CH4,50.0,False,50
5,2613.384826421696,2450.354662269966,2602.708547832499,2441.0244195258656,161.68412830663328,0.9846803095669641,CH4,50.0,False,50
