,CH4,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,1.630626660358324,0.41664555375991,0.10887795140807802,0.2526480353451516,0.05542662243724834,0.029510537427539705,0.023322308627092097,0.02263218462840875,0.0024554984000516008,0.33318882922231,0.4347201678064533,0.5088282995043716,0.5951214427818882,0.6752511877241097
Factor_2,1.6923695835954435,0.9086611846529812,0.2808814224886492,0.459181692005521,0.04766220712020096,0.04221395839738633,0.003584564574363399,0.024741656953696175,0.001963053682352929,0.0018650068981729997,0.008226412600259293,0.028376178843486186,0.08494206726474521,0.13107937994333443
Factor_3,1.683949085490613,0.8356137975588633,0.26256329490415625,0.4314865754959254,0.06398306085556922,0.052305284001791214,0.015821336582287585,0.02730560810395222,0.004146734995990403,0.077384769739293,0.11411759050743361,0.15707789416671983,0.2503002959054062,0.33351209252196207
