species,measured_sum,reconstructed_sum,closure_pct,closure_w_pct,Q_species,q_share_pct,rmse,nrmse,median_residual
NOX,185499.98992061,185836.07364366122,100.18117721903653,100.00707694704124,10.918693154325146,0.12603740549088122,1.1886792117335088,5.1161268690860995,-0.003323151374236666
NO,56903.0989383392,57205.20975713241,100.53092155687439,100.00238121951438,36.711428993431845,0.42376987765811475,0.6869689977816681,9.638772897469403,0.00024402724827687905
NO2,98345.55823369265,98248.0446425449,99.90084596305202,100.01653730649561,40.61650993785678,0.4688472750637038,1.0789795904583368,8.759493773729027,0.0011407064028610137
SO2,10374.231929566002,10162.493327423956,97.95899490603635,99.92468429814079,1358.067361234953,15.676536035276117,0.47171742630023306,36.303332691527906,0.0001208692658689059
H2S,17921.0449572,17773.9712720835,99.17932416626516,99.96316536863361,147.17866493261167,1.6989228298232764,0.35957542413993726,16.019435212564765,0.00012558118332528512
Benzene,2451.8,2915.546997640323,118.91455247737672,98.84319230530993,1057.790528920922,12.210359970158915,0.29595010594162086,96.37269132220821,0.00890562646942275
Toluene,7356.509999999998,8794.788830351963,119.5511027695465,100.4106573009029,795.354118839798,9.180986054667635,0.9873056048814527,107.15200481442314,0.057611477144906054
Ethylbenzene,1560.4599999999998,1675.0486608473088,107.3432616566467,104.20491155333676,838.7636682507813,9.682074133978782,0.2548489154985807,130.391919135426,0.03334659280102581
m&p-Xylene,4692.999999999999,4964.507081309907,105.78536290879839,108.20951591074663,1131.2172096197721,13.057943852065563,0.7488509948633715,127.3988140419595,0.1188029767575324
PM1 FIDAS,39575.68,39546.34356362108,99.9258725652246,100.55653209048805,631.4497569628619,7.288994016094375,0.21571815825245486,4.351899387420758,-0.010436452363929094
PM2.5 FIDAS,51787.46,51858.39637074632,100.13697596048603,99.62743741833354,385.2775791519543,4.447362498769777,0.2030174237557963,3.12989111894323,-0.00019618778762853228
PM4 FIDAS,62460.84999999999,62464.02769081828,100.00508749211433,99.53621501469583,763.5203999364916,8.81352089368274,0.40119548836072433,5.128243978543397,0.026233371862242283
PM10 FIDAS,77637.44,77291.8223442304,99.55483120544727,100.19980328868623,307.1671212575089,3.5457125196401,0.5325528984719126,5.476613269834438,0.0009829019924754157
TSP FIDAS,94530.95999999999,92618.91508085401,97.97733470690875,100.62210480735476,1159.0246533060945,13.378932637630024,1.6391968863875594,13.844509715037566,-0.007685109631749398
