datetime,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
2023-09-01 00:15:00,2.2908143671188577,0.550742657665466,1.566482959501696,0.29751382890597866,3.0915255,2.4000000000000004,9.24,1.92,1.0260682238525858,1.0558882516630255,1.3776470375244887,1.780373275467816,2.3483279157732637
2023-09-01 00:20:00,2.354623655852653,0.5436265609789783,1.6401966047496426,0.2975118388850795,3.0915255,2.4000000000000004,9.24,1.92,1.0260682238525858,1.0558882516630255,1.3776470375244887,1.780373275467816,2.3483279157732637
2023-09-01 00:25:00,2.5104625351199874,0.6036139007575709,1.6947610148312255,0.2832350881173084,3.0915255,2.4000000000000004,9.24,1.92,1.0260682238525858,1.0558882516630255,1.3776470375244887,1.780373275467816,2.3483279157732637
2023-09-01 00:30:00,2.3865879683878335,0.5722371106176435,1.6246949037850702,0.308874055164748,3.0915255,2.4000000000000004,0.2859779012441346,0.10776015033397085,0.9535953020018503,0.9870162106064925,1.2874210500065626,1.674009035220539,2.186535158647123
2023-09-01 00:35:00,2.2709732303100383,0.5578876116111632,1.5356351001051916,0.28514428304542133,3.0915255,2.4000000000000004,9.24,1.92,0.9535953020018503,0.9870162106064925,1.2874210500065626,1.674009035220539,2.186535158647123
2023-09-01 00:40:00,2.3467214010856483,0.5459999425575284,1.6286047813339255,0.2777623589038031,3.0915255,2.4000000000000004,9.24,1.92,0.9535953020018503,0.9870162106064925,1.2874210500065626,1.674009035220539,2.186535158647123
2023-09-01 00:45:00,2.199385958784695,0.48539296280787236,1.5859198222412696,0.27776068968772727,3.0915255,2.4000000000000004,9.24,1.92,0.9349331526906082,0.966400020695364,1.2670238513934928,1.7042300314218148,2.3551042439773235
2023-09-01 00:50:00,2.0327958853881976,0.45157259868663885,1.4817212633539356,0.28709515285412235,3.0915255,2.4000000000000004,9.24,1.92,0.9349331526906082,0.966400020695364,1.2670238513934928,1.7042300314218148,2.3551042439773235
2023-09-01 00:55:00,2.0763739303302082,0.4762818074407697,1.481747583676029,0.2953368863083809,3.0915255,2.4000000000000004,9.24,1.92,0.9349331526906082,0.966400020695364,1.2670238513934928,1.7042300314218148,2.3551042439773235
2023-09-01 01:00:00,2.048666037618067,0.4515738458420401,1.4971382518702792,0.29749613614650583,3.0915255,0.08828363381737295,0.3038844517246645,0.12078493283518438,0.8980623586366372,0.9323995924495034,1.2324706893066464,1.6560193235587561,2.274313083108832
