species,snr,missing_frac,bdl_frac,valid_frac,variance,total_count,mdl
NOX,3.845974748940593,0.0,0.0,1.0,131.71121654638623,8241,1.0
NO,3.336637932383508,0.0,0.003518990413784735,0.9964810095862152,14.529782990128052,8241,0.5
NO2,3.6562340627040055,0.0,0.0014561339643247178,0.9985438660356752,47.439594487799084,8241,1.0
SO2,2.6107972535274073,0.0,0.029608057274602598,0.9703919427253974,1.9856450655178837,8241,0.5
H2S,2.128955210810108,0.0,0.17267321926950613,0.8273267807304939,7.3429062514751475,8241,0.5
Benzene,1.180869832185706,0.0,0.0,1.0,0.007963436051008278,8241,0.01
Toluene,1.0783232333550463,0.0,0.0,1.0,0.7952411996641819,8241,0.02
Ethylbenzene,0.6240019656826566,0.0,0.0,1.0,0.03465271801093985,8241,0.02
PM1 FIDAS,5.43874471759101,0.0,0.037252760587307365,0.9627472394126926,36.6183472516279,8241,1.0
PM2.5 FIDAS,6.443975589242094,0.0,0.016988229583788376,0.9830117704162116,42.43001156926214,8241,1.0
PM4 FIDAS,5.2304463966327885,0.0,0.018080330057031913,0.9819196699429681,51.82243173301099,8241,1.5
PM10 FIDAS,4.301282496326199,0.0,0.014439995146220118,0.9855600048537799,88.48154385495592,8241,2.0
TSP FIDAS,3.2766019525192744,0.0,0.01334789467297658,0.9866521053270234,168.87132990180325,8241,2.5
