,PC1,PC2,PC3,PC4,PC5,PC6
NOX,-2.5201957188468987e-05,0.00033290558202446946,0.5915569868535991,0.0002335849825035764,-2.882960600219385e-05,0.24407472072395037
NO,0.00013084643360356806,0.000583589977378978,0.803067690099263,0.0007874354177081135,-0.0006918403886019523,-0.13801714310803384
NO2,-0.0003471060215377341,-0.00028597795617782895,-0.03151125620479811,-0.0009806602518795057,0.0013498792743443654,0.9552368184995332
SO2,0.00031701794324289916,2.2381801489212755e-05,0.00045756862789665155,0.9990262709221369,0.0005687062739438738,-0.0008531392456164259
H2S,-0.00010086569465694249,7.195683095801742e-05,-0.00036425887204472913,0.0005675354226238621,0.9993947952305821,0.0011740664213450204
Benzene,0.025747579642227028,0.4797933047016687,-0.03319610143592038,-0.01019192526148542,0.004197435558562953,-0.003875890339236563
Toluene,-0.012520425672690658,0.5017608028076705,0.021672895413327998,0.009690761627694097,-0.01629039100303036,0.014724916788389759
Ethylbenzene,-0.005340795840205511,0.509854339011281,0.009507297162951615,0.0026643604275056426,0.014234740657803096,-0.018457176558153755
m&p-Xylene,-0.005332647017149509,0.5078524870839953,0.00020805237119981502,-0.0032761671084607555,-0.001689187335106263,0.00588297679457862
PM1 FIDAS,0.4320822422844925,-0.006430395220806181,0.037554046467219125,-0.034547792710361985,0.019631820397151115,-0.03468543933306455
PM2.5 FIDAS,0.45240750108289457,-0.004768685513971517,0.012068637369924244,-0.004446888972454708,0.006458849052249583,-0.030745254875802007
PM4 FIDAS,0.4610346275543541,-0.002783804163881162,-0.005653464914431696,0.016955120051963247,-0.003365722100958805,-0.023661751184633113
PM10 FIDAS,0.45401709178417815,0.003495517596198224,-0.014529449784341446,0.013197889318159501,-0.00784936019586701,0.019972613315552643
TSP FIDAS,0.43482298970538874,0.009180874936429727,-0.02623285307143446,0.007344939070552325,-0.014794460017014012,0.07200733700454735
