,PC1,PC2,PC3,PC4,PC5,PC6
NOX,0.0005782310305222075,0.6162863794851613,9.658955868326551e-05,0.004923300458287419,-0.004943723295307206,-8.391715459508602e-05
NO,-0.051716502798812895,0.5425642679328847,0.010691672824493936,-0.047620427964123885,0.08121344025075018,0.025994670108225225
NO2,0.04474941732044266,0.567057060770755,-0.008947768848329112,0.04845138691417318,-0.07694048136043614,-0.022552634744827358
SO2,0.000886157624532448,-0.0023177220377520063,-0.00043143725820174136,0.007653435000252332,0.9905250248365982,-0.001616596690819206
H2S,-0.0004830561783988127,0.0024600356331399807,-0.0005198580624601911,0.9908095944038002,0.007629365764171594,-0.0004889707549800416
Benzene,0.007095148402550641,0.006883836956108581,0.7196111085043153,-0.02806695646097878,-0.008781344485618183,-0.02345534561170236
Toluene,0.0004245747154911892,1.616121552081656e-05,-0.0006148850649412767,-0.0004734484594451769,-0.001557639101598023,0.9986531194618932
Ethylbenzene,-0.007231773444412558,-0.007377149889874793,0.6941691400359248,0.029768728655432317,0.008552526982855658,0.024302004313857154
PM1 FIDAS,0.4374186706815368,-0.028295572228406493,0.004736147599416355,0.07035269474023878,-0.031518403692886734,0.015913406843934826
PM2.5 FIDAS,0.45472594644893166,-0.021380671892257015,0.0036588183718783644,0.02755938600447288,-0.022941118290166256,0.0049109400916766115
PM4 FIDAS,0.4592694039712816,-0.0126638963711683,0.0025638864007999237,-0.0005589035742687596,-0.013241710863073535,-0.003298915702101932
PM10 FIDAS,0.45279435484365305,0.022044852991269997,-0.002678863690783416,-0.038891244128498925,0.023863101090704004,-0.0061302270541383165
TSP FIDAS,0.4256252189887474,0.04737138035641109,-0.0066536779314094125,-0.06857312569705344,0.062007159689804636,-0.006179500931731285
