species,category,reasons,snr,missing_frac,bdl_frac
NOX,strong,,3.904210991057948,0.0,0.00012335019119279634
NO,strong,,3.5348115666380426,0.0,0.003947206118169483
NO2,strong,,3.8112620652331213,0.0,0.0020969532502775378
SO2,strong,,2.8938490308484965,0.0,0.038361909460959666
H2S,strong,,2.0563965049344652,0.0,0.05920809177254225
Benzene,weak,S/N < 2.0,0.9616333753507607,0.0,0.0
Toluene,weak,S/N < 2.0,0.8593716167738202,0.0,0.0
Ethylbenzene,weak,S/N < 2.0,0.47661446807983127,0.0,0.0
m&p-Xylene,weak,S/N < 2.0,0.6426859125404943,0.0,0.0
PM1 FIDAS,strong,,4.288867992353244,0.0,0.05649438756630073
PM2.5 FIDAS,strong,,5.535546757419406,0.0,0.017392376958184286
PM4 FIDAS,strong,,4.505704055241219,0.0,0.027877143209571974
PM10 FIDAS,strong,,3.6992619675330847,0.0,0.02898729493030714
TSP FIDAS,strong,,2.850592943685124,0.0,0.032194399901319844
