species,snr,missing_frac,bdl_frac,valid_frac,variance,total_count,mdl
NOX,3.904210991057948,0.0,0.00012335019119279634,0.9998766498088072,760.9864919870428,8107,1.0
NO,3.5348115666380426,0.0,0.003947206118169483,0.9960527938818305,183.6919284480737,8107,0.5
NO2,3.8112620652331213,0.0,0.0020969532502775378,0.9979030467497224,100.503192452013,8107,1.0
SO2,2.8938490308484965,0.0,0.038361909460959666,0.9616380905390404,6.262306069884866,8107,0.5
H2S,2.0563965049344652,0.0,0.05920809177254225,0.9407919082274577,87.78608094963204,8107,0.5
Benzene,0.9616333753507607,0.0,0.0,1.0,0.017404117601640116,8107,0.01
Toluene,0.8593716167738202,0.0,0.0,1.0,0.14580435608780673,8107,0.02
Ethylbenzene,0.47661446807983127,0.0,0.0,1.0,0.01685384859139895,8107,0.02
m&p-Xylene,0.6426859125404943,0.0,0.0,1.0,0.11252588324656367,8107,0.02
PM1 FIDAS,4.288867992353244,0.0,0.05649438756630073,0.9435056124336992,48.10293262931654,8107,1.0
PM2.5 FIDAS,5.535546757419406,0.0,0.017392376958184286,0.9826076230418157,50.957005700510905,8107,1.0
PM4 FIDAS,4.505704055241219,0.0,0.027877143209571974,0.972122856790428,53.8354405048317,8107,1.5
PM10 FIDAS,3.6992619675330847,0.0,0.02898729493030714,0.9710127050696928,58.633975020141854,8107,2.0
TSP FIDAS,2.850592943685124,0.0,0.032194399901319844,0.9678056000986801,68.49347251196266,8107,2.5
