species,snr,missing_frac,bdl_frac,valid_frac,variance,total_count,mdl
NOX,3.8761518870420524,0.0,0.0,1.0,479.47742719308917,7984,1.0
NO,3.5814684498016987,0.0,0.002129258517034068,0.997870741482966,125.33994240832942,7984,0.5
NO2,3.6926755916575384,0.0,0.00375751503006012,0.9962424849699398,64.58771161127824,7984,1.0
SO2,2.6251468327115464,0.0,0.02843186372745491,0.9715681362725451,1.4741991508889951,7984,0.5
H2S,2.233195188489529,0.0,0.10971943887775551,0.8902805611222445,29.16302032275943,7984,0.5
Benzene,1.3169633953507134,0.0,0.0,1.0,0.02100447858010898,7984,0.01
Toluene,1.1715869384950421,0.0,0.0,1.0,0.311578968344744,7984,0.02
Ethylbenzene,0.7063432479803137,0.0,0.0,1.0,0.03760150253532243,7984,0.02
m&p-Xylene,0.8806322059893938,0.0,0.0,1.0,0.24823549775236306,7984,0.02
PM1 FIDAS,4.816832425412931,0.0,0.07878256513026052,0.9212174348697395,14.33188652911229,7984,1.0
PM2.5 FIDAS,5.860504429260074,0.0,0.03707414829659319,0.9629258517034068,16.85570161325519,7984,1.0
PM4 FIDAS,4.737322797563326,0.0,0.04872244488977956,0.9512775551102205,20.13404684513241,7984,1.5
PM10 FIDAS,3.906866375846383,0.0,0.03970440881763527,0.9602955911823647,30.94458821674549,7984,2.0
TSP FIDAS,2.983280011381019,0.0,0.03519539078156313,0.9648046092184369,49.77958072796912,7984,2.5
