datetime,PC1,PC2,PC3,PC4,PC5,PC6
2023-10-01 00:00:00,-0.6084026567866924,-1.1181854920689736,-0.42547788506810724,-0.1468417167270323,-0.2763371349657219,-0.23773715337722612
2023-10-01 00:15:00,-0.4087888286829538,-0.25226341348973347,-0.8630033004665723,-0.22625969388711356,-0.7138937869849542,-1.1094732844874686
2023-10-01 00:20:00,-0.4111370625252431,-0.2526086247243095,-0.8567018369205789,-0.22210546400699469,-0.9428483157021035,-1.0871317885866392
2023-10-01 00:25:00,-0.4110199229285623,-0.2525942475415911,-0.8524933653969512,-0.28789401430693357,-0.9432828133697104,-1.0135814527666254
2023-10-01 00:30:00,-0.2669543259865045,-1.0834734766451304,-0.8517900967283458,-0.29282593999495116,-0.5829774388544876,-1.0197696412993922
2023-10-01 00:35:00,-0.25935023320150935,-0.2540959338968015,-0.8791947865020137,-0.3147930249648757,-0.5754101102238034,-1.1369616248813361
2023-10-01 00:40:00,-0.25997135674680816,-0.2541806614244958,-0.9165477239521999,-0.31783155062225615,-0.6839625771150408,-1.1669818888547687
2023-10-01 00:45:00,-0.7423748489114099,-0.2521061905555213,-0.9263744448889668,-0.26635650893274,-0.7229967553783299,-1.1804422805532366
2023-10-01 00:50:00,-0.741717785208933,-0.2519992046350986,-0.8989979286288022,-0.2629623691201328,-0.5703746859522005,-1.1205511642736408
2023-10-01 00:55:00,-0.7418934291263325,-0.2520328091979636,-0.8737032171074705,-0.2636261340066633,-0.5698578333298437,-1.1014986671214566
2023-10-01 01:00:00,-0.7974103977428241,-1.2375762564358526,-0.8824048476688112,-0.24288286898167438,-0.728241375549027,-1.1169930896745608
2023-10-01 01:05:00,-0.79127228502657,-0.25255767059364254,-0.9001083071042802,-0.2734833876310222,-0.7401086778348728,-1.1634124030718338
2023-10-01 01:10:00,-0.7931033019753011,-0.2528473491882315,-0.8716633319666471,-0.2817314060919065,-0.9485571156323861,-1.1525023227759863
2023-10-01 01:15:00,-0.7591089805647748,-0.25363393698652476,-0.8293432394105855,-0.29755499565427856,-0.6994347413757946,-1.0469752466339757
2023-10-01 01:20:00,-0.7589460178677355,-0.253588164506652,-0.8615742145990103,-0.23325375861033598,-0.6556593976443715,-1.1119991038957289
2023-10-01 01:25:00,-0.758188846197426,-0.2535140716494301,-0.854393335115067,-0.2939679954320176,-0.7021860449785664,-1.1367408742740903
2023-10-01 01:30:00,-1.0732200445742879,-1.2817104961755046,-0.927722479039785,-0.26262101662864723,-0.712804787573604,-1.251484839523652
2023-10-01 01:35:00,-1.067019648079825,-0.25375433693650024,-0.9125118987297226,-0.28880450046586187,-0.551417358735064,-1.2289636467033866
2023-10-01 01:40:00,-1.0664385502470513,-0.25368320149953744,-0.8949783711910976,-0.2862804122598873,-0.5089957292297882,-1.2483190253189302
2023-10-01 01:45:00,-1.1326212585367896,-0.2552964733555405,-0.8423172618638529,-0.3143731746565756,-0.5328103172640638,-1.2735557577141365
2023-10-01 01:50:00,-1.133383472669906,-0.25538103850393234,-0.8374273612618777,-0.31724839936117066,-0.5084377282520254,-1.18356949194833
2023-10-01 01:55:00,-1.134043718617977,-0.25546000466835567,-0.8329261271916116,-0.3198360277409634,-0.506457712137805,-1.1204168395369591
2023-10-01 02:00:00,-1.4091304484475113,-1.318632067288895,-0.8233531479334468,-0.28443881193146864,-0.4524452066955788,-1.1145883636855662
2023-10-01 02:05:00,-1.4042148676477155,-0.2558911953271188,-0.812357752419782,-0.3217592715354671,-0.5719597193046426,-1.1538697661541557
2023-10-01 02:10:00,-1.4045529972619004,-0.2559355503165998,-0.8518119968994049,-0.3235765180909895,-0.6592743541269576,-1.1938657168181814
2023-10-01 02:15:00,-1.4979944945131909,-0.25727628222670995,-0.8779919219294084,-0.34307537806867505,-0.4455163106951228,-1.3279811287711647
2023-10-01 02:20:00,-1.499720985106431,-0.25751667645481174,-0.8506145213020766,-0.35027527258581964,-0.5286914388143112,-1.229819033103961
2023-10-01 02:25:00,-1.4999102876961186,-0.25754674296911656,-0.8597431368071204,-0.3512525271013694,-0.5722926708593495,-1.246903865224032
2023-10-01 02:30:00,-1.444652163232252,-1.3808864498163367,-0.8596345257170075,-0.3858833416215675,-0.3966451318503662,-1.2650922326655398
2023-10-01 02:35:00,-1.4409125869592507,-0.2607833116371459,-0.8334405321754962,-0.41839273776420466,-0.3879121832203509,-1.2441319482302706
2023-10-01 02:40:00,-1.4431301492164983,-0.2611083497115517,-0.8201940499620163,-0.3644561393790391,-0.5799628686641094,-1.2671410362762259
2023-10-01 02:45:00,-1.748950839307976,-0.25925341071091745,-0.8101174722986324,-0.32962555813631145,-0.41898616381358794,-1.1956756895653406
2023-10-01 02:50:00,-1.7485534353247487,-0.25919632179825486,-0.8515045140647745,-0.3774274623271928,-0.4643949068217445,-1.209060816458225
2023-10-01 02:55:00,-1.7497419366013036,-0.2593494741572072,-0.7977245641571525,-0.381814063270396,-0.41667633711140667,-1.0568936415120331
2023-10-01 03:00:00,-1.7459609821001603,-0.26207069034819785,-0.8492148176459551,-0.4300619406795771,-0.1812471804550876,-1.2590300761936501
2023-10-01 03:05:00,-1.7470773313029417,-0.2622563389644684,-0.8650002394704621,-0.435584515275659,-0.3987558349272381,-1.3255271242175786
2023-10-01 03:10:00,-1.7494556272312953,-0.2625898606360441,-0.8099002993035388,-0.3786991277242143,-0.47990490828744087,-1.2475936123589662
2023-10-01 03:15:00,-2.0450019342307453,-0.26012724888702987,-0.8341392266807834,-0.38340714467798853,-0.37253903610113664,-1.2649115703051048
2023-10-01 03:20:00,-2.0436896004991154,-0.2599281245016644,-0.8868121345412252,-0.37797147890610383,-0.3101960920803481,-1.3431957518066027
2023-10-01 03:25:00,-2.0446782376692028,-0.2600894899354937,-0.8591417426231389,-0.3823865004286522,-0.41767329543583326,-1.332221319868922
2023-10-01 03:30:00,-2.0742713102761763,-1.2149361301155404,-0.8280957040285246,-0.37950376086740434,-0.409273258524047,-1.3218274247935442
2023-10-01 03:35:00,-2.065036649356349,-0.2618617754782674,-0.8462486971307375,-0.41392864378601785,-0.39466308487711343,-1.3691201639187163
2023-10-01 03:40:00,-2.065709340260487,-0.26197517306670814,-0.8402059218141517,-0.4171253048747294,-0.503079614724087,-1.390185917843593
2023-10-01 03:45:00,-2.1355556935945614,-0.2635793813194061,-0.7888042749581373,-0.4477990360730177,-0.5023623738410602,-1.317028111060608
2023-10-01 03:50:00,-2.1354760098712333,-0.2635539156469269,-0.7459588045450363,-0.4467683202878375,-0.37009918911605055,-1.2179408629332382
2023-10-01 03:55:00,-2.137239857918246,-0.26381187485032914,-0.6980197235887404,-0.39902623221542866,-0.4531040446056128,-1.1843654189664803
2023-10-01 04:00:00,-2.326715980996699,-1.5621657338161197,-0.6927961356533864,-0.3745969824682301,-0.4566285493266285,-1.1065410392890114
2023-10-01 04:05:00,-2.324368278074912,-0.263917856315919,-0.7582134988918255,-0.4516667718412883,-0.5219049053053629,-1.1973727076586824
2023-10-01 04:10:00,-2.325698080069032,-0.2640898697886039,-0.7793412236031112,-0.3906144750358785,-0.606169405372335,-1.2263468155644999
2023-10-01 04:15:00,-2.429378452153287,-0.2653919123559061,-0.7311114479644406,-0.4173475882945189,-0.5886908438253191,-1.0861871562431191
2023-10-01 04:20:00,-2.428017353473919,-0.2652026611395158,-0.7415122742685867,-0.41446535714632676,-0.5044286895852778,-1.1443551326290113
2023-10-01 04:25:00,-2.42841646440816,-0.26527433870549955,-0.7369860830951854,-0.47742050630994903,-0.5916539813736089,-1.096915209028178
2023-10-01 04:30:00,-2.8006493656189506,-1.526640563827027,-0.8046858664071994,-0.4166901601222393,-0.464693906538189,-1.1799868195738652
2023-10-01 04:35:00,-2.8028366992314946,-0.26434692309209257,-0.8079712482158128,-0.44539220661424006,-0.5951286234006079,-1.1912192997738182
2023-10-01 04:40:00,-2.8014562914466867,-0.26415205422783256,-0.8004581860543082,-0.439290740836264,-0.4667548712569464,-1.2190195873237077
2023-10-01 04:45:00,-2.73527942399525,-0.26572290913758156,-0.7713549959561057,-0.4778761139962088,-0.8072926737349522,-1.1601322949236659
2023-10-01 04:50:00,-2.733664964485187,-0.2654604861228302,-0.7341698847723481,-0.469849521218607,-0.48778385265902136,-1.0587848179077135
2023-10-01 04:55:00,-2.733217007094141,-0.2654102096331675,-0.767847455000442,-0.46846222319232306,-0.5553745647670656,-1.155820997704358
2023-10-01 05:00:00,-2.7924681333164267,-1.5870212385384945,-0.7768294399041656,-0.4291794320674598,-0.542262380637245,-1.2020866548691194
2023-10-01 05:05:00,-2.7932618090706867,-0.26469866674479386,-0.7457588879514846,-0.4505590025660861,-0.43586609505593243,-1.1988586142888635
2023-10-01 05:10:00,-2.794048234926184,-0.2647857800906468,-0.7783043134965472,-0.45390457589844935,-0.4776653010029363,-1.1613974596233838
2023-10-01 05:15:00,-2.7628311021374325,-0.26680611376617885,-0.7804633919947381,-0.5015702119622999,-0.3511385948090616,-1.1365558046777273
2023-10-01 05:20:00,-2.762027682724229,-0.26671949794532673,-0.7924416816932938,-0.49865279923196243,-0.39771855093493963,-1.2482285200317207
2023-10-01 05:25:00,-2.7617719467447235,-0.2667047457766919,-0.8131440781145696,-0.49811928908447384,-0.4868247899360274,-1.3428979064533384
2023-10-01 05:30:00,-2.986379855140934,-1.9898005972201875,-0.8537144615709272,-0.4449556810093326,-0.3878982167325926,-1.3536314856478076
2023-10-01 05:35:00,-2.99329907821267,-0.2654037441767444,-0.8573464923183532,-0.46863972743941534,-0.8129301538238138,-1.4521092414375718
2023-10-01 05:40:00,-2.992723217810294,-0.2653140376443534,-0.9011232681220802,-0.4664235300314782,-0.8146403927376772,-1.510914567607419
2023-10-01 05:45:00,-2.923525462033364,-0.26641134187996296,-0.8188145180254475,-0.4905981031456898,-0.7963997378058166,-1.3809628998355148
2023-10-01 05:50:00,-2.922000417592066,-0.2661917252602942,-0.7565281090654304,-0.4832339698237993,-0.542892118977678,-1.3201003010739163
2023-10-01 05:55:00,-2.9219258216121595,-0.2661774136490416,-0.7673466410307688,-0.48295214475722975,-0.543111282659605,-1.3281987459112354
2023-10-01 06:00:00,-2.869558558857908,-1.8070349729858202,-0.7532029749134015,-0.4708339624199199,-0.5267595664723662,-1.2496863288810973
