,NOX,NO,NO2,SO2,H2S,Benzene,Toluene,Ethylbenzene,m&p-Xylene,PM1 FIDAS,PM2.5 FIDAS,PM4 FIDAS,PM10 FIDAS,TSP FIDAS
Factor_1,0.21573939386940522,0.1420463585518683,4.207147493812685e-20,7.913990096716218e-33,2.0643176943992435e-09,0.07743072432286527,0.21370209548327074,0.06411387553078461,0.18265674493994927,2.1118076894936664,1.7927727135486713,1.4078656585473717,0.7207998819265435,8.968778954883796e-18
Factor_2,15.558127046208034,9.964206660691971,0.32503007053266186,0.0010296992143445675,0.0035088390429137578,5.416362199104086e-26,0.22699084789532573,1.091693065527022e-27,1.9419302544980252e-105,0.0007486287915829724,4.020427226685285e-20,0.0006654166930067925,0.1715389671310314,0.29006603714645357
Factor_3,3.661607547524878e-12,3.509784201583645e-13,1.5194834429725066e-07,6.541333584679109e-34,0.055727136354422044,7.710445386200018e-125,0.04926883660008277,4.523076500945768e-191,3e-323,1.8553645120886149,3.849025424449472,5.7241887284632025,8.408681404611524,11.1890920098084
Factor_4,18.088618780361575,7.550697754047687e-19,18.068365056652162,0.4888452171371126,0.3438293280338104,0.039256387426964974,7.432582490584788e-59,5.011666071098201e-176,3.5e-323,6.6911547507954706e-15,0.013925169691066549,1.1380483969123037e-08,1.1587776809979529e-09,7.44663854927937e-09
Factor_5,0.7961085164142294,0.06602496954442152,0.6908411439044616,1.5905402131328619,7.473265043958032e-05,0.2818189792756345,0.6639328826547057,0.08370281746716302,0.2365047969420523,3.575373344142309e-44,0.19696327036278086,0.3806176969892347,0.6558088931184071,1.033759019949155
Factor_6,0.2434578243110069,0.15617717272026968,6.904288803348604e-48,4.2644594785829555e-08,2.9045814666551077,0.08418608253320052,0.2798211104565869,0.09712311736341388,0.31433256992401887,0.22464971976669348,0.3136540945580618,0.4272950828945433,0.6183261571174743,0.8068866648711267
