burst_number,q_true_start,q_true_end,q_robust_start,q_robust_end,objective_reduction,relative_change,species_name,lambda_value,converged,iterations_used
1,,6729.457176533597,,6441.523185051644,0.0,0.8813752163830927,CH4,5.0,False,50
2,6729.457176533597,3687.2500906004047,6441.523185051644,3644.1783031748314,2797.3448818768125,0.8732365524852284,CH4,5.0,False,50
3,3687.2500906004047,2827.172457607573,3644.1783031748314,2814.94352075986,829.2347824149715,0.8682220284647518,CH4,5.0,False,50
4,2827.172457607573,2612.5833486527176,2814.94352075986,2601.948189268931,212.99533149092895,0.8675112242723273,CH4,5.0,False,50
5,2612.5833486527176,2449.412750018338,2601.948189268931,2440.0951745767293,161.85301469220167,0.8664880751578818,CH4,5.0,False,50
